"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"202","P50ARMS2A_2B","P50ARMS2A","P50ARMS","P50ARMS2","2","B","c","Saint_Leu","Reunion","2Bc","B_c"
"203","P50ARMS2A_2T","P50ARMS2A","P50ARMS","P50ARMS2","2","T","o","Saint_Leu","Reunion","2To","T_o"
"204","P50ARMS2A_3B","P50ARMS2A","P50ARMS","P50ARMS2","3","B","o","Saint_Leu","Reunion","3Bo","B_o"
"205","P50ARMS2A_3T","P50ARMS2A","P50ARMS","P50ARMS2","3","T","c","Saint_Leu","Reunion","3Tc","T_c"
"206","P50ARMS2A_4B","P50ARMS2A","P50ARMS","P50ARMS2","4","B","c","Saint_Leu","Reunion","4Bc","B_c"
"207","P50ARMS2A_4T","P50ARMS2A","P50ARMS","P50ARMS2","4","T","o","Saint_Leu","Reunion","4To","T_o"
"208","P50ARMS2A_5B","P50ARMS2A","P50ARMS","P50ARMS2","5","B","o","Saint_Leu","Reunion","5Bo","B_o"
"209","P50ARMS2A_5T","P50ARMS2A","P50ARMS","P50ARMS2","5","T","c","Saint_Leu","Reunion","5Tc","T_c"
"210","P50ARMS2A_6B","P50ARMS2A","P50ARMS","P50ARMS2","6","B","c","Saint_Leu","Reunion","6Bc","B_c"
"211","P50ARMS2A_6T","P50ARMS2A","P50ARMS","P50ARMS2","6","T","o","Saint_Leu","Reunion","6To","T_o"
"212","P50ARMS2A_7B","P50ARMS2A","P50ARMS","P50ARMS2","7","B","o","Saint_Leu","Reunion","7Bo","B_o"
"213","P50ARMS2A_7T","P50ARMS2A","P50ARMS","P50ARMS2","7","T","c","Saint_Leu","Reunion","7Tc","T_c"
"214","P50ARMS2A_8B","P50ARMS2A","P50ARMS","P50ARMS2","8","B","c","Saint_Leu","Reunion","8Bc","B_c"
"215","P50ARMS2A_8T","P50ARMS2A","P50ARMS","P50ARMS2","8","T","o","Saint_Leu","Reunion","8To","T_o"
"216","P50ARMS2A_9B","P50ARMS2A","P50ARMS","P50ARMS2","9","B","o","Saint_Leu","Reunion","9Bo","B_o"
"217","P50ARMS2B_1T","P50ARMS2B","P50ARMS","P50ARMS2","1","T","c","Saint_Leu","Reunion","1Tc","T_c"
"218","P50ARMS2B_2B","P50ARMS2B","P50ARMS","P50ARMS2","2","B","c","Saint_Leu","Reunion","2Bc","B_c"
"219","P50ARMS2B_2T","P50ARMS2B","P50ARMS","P50ARMS2","2","T","o","Saint_Leu","Reunion","2To","T_o"
"220","P50ARMS2B_3B","P50ARMS2B","P50ARMS","P50ARMS2","3","B","o","Saint_Leu","Reunion","3Bo","B_o"
"221","P50ARMS2B_3T","P50ARMS2B","P50ARMS","P50ARMS2","3","T","c","Saint_Leu","Reunion","3Tc","T_c"
"222","P50ARMS2B_4B","P50ARMS2B","P50ARMS","P50ARMS2","4","B","c","Saint_Leu","Reunion","4Bc","B_c"
"223","P50ARMS2B_4T","P50ARMS2B","P50ARMS","P50ARMS2","4","T","o","Saint_Leu","Reunion","4To","T_o"
"224","P50ARMS2B_5B","P50ARMS2B","P50ARMS","P50ARMS2","5","B","o","Saint_Leu","Reunion","5Bo","B_o"
"225","P50ARMS2B_5T","P50ARMS2B","P50ARMS","P50ARMS2","5","T","c","Saint_Leu","Reunion","5Tc","T_c"
"226","P50ARMS2B_6B","P50ARMS2B","P50ARMS","P50ARMS2","6","B","c","Saint_Leu","Reunion","6Bc","B_c"
"227","P50ARMS2B_6T","P50ARMS2B","P50ARMS","P50ARMS2","6","T","o","Saint_Leu","Reunion","6To","T_o"
"228","P50ARMS2B_7B","P50ARMS2B","P50ARMS","P50ARMS2","7","B","o","Saint_Leu","Reunion","7Bo","B_o"
