"","T_1A","T_1B","T_2A","T_2B","T_3A","T_3B"
"2022-05-17",26.0322916666667,26.0645238095238,25.964755952381,25.9741071428571,25.3758095238095,25.3319345238095
"2022-05-18",25.9292142857143,25.9622916666667,25.8672380952381,25.86675,25.2379702380952,25.2004702380952
"2022-05-19",25.8481011904762,25.8804464285714,25.7666904761905,25.763869047619,25.2066130952381,25.1752916666667
"2022-05-20",25.7346488095238,25.7671071428571,25.6739404761905,25.6728571428571,25.1775892857143,25.1520535714286
"2022-05-21",25.6166964285714,25.6481011904762,25.5696904761905,25.5730833333333,25.1820595238095,25.1562261904762
"2022-05-22",25.4826607142857,25.5159107142857,25.4652916666667,25.4668035714286,25.144880952381,25.1165952380952
"2022-05-23",25.4301547619048,25.4639583333333,25.3608214285714,25.3679404761905,25.0576785714286,25.0304226190476
"2022-05-24",25.5000892857143,25.5319047619048,25.3564166666667,25.3652380952381,24.9968869047619,24.9732440476191
"2022-05-25",25.5301726190476,25.5606845238095,25.409494047619,25.4277321428571,25.0611666666667,25.0369345238095
"2022-05-26",25.5623988095238,25.5927857142857,25.4524702380952,25.4733154761905,25.082125,25.0567619047619
"2022-05-27",25.5977619047619,25.6270119047619,25.4671547619048,25.4874166666667,25.130755952381,25.1056607142857
"2022-05-28",25.6149166666667,25.6459107142857,25.4420476190476,25.4602738095238,25.1147261904762,25.0879285714286
"2022-05-29",25.6563511904762,25.6869047619048,25.4540595238095,25.4748511904762,24.9924464285714,24.9702678571429
"2022-05-30",25.6691726190476,25.6990119047619,25.5394880952381,25.5612023809524,24.9714880952381,24.9517619047619
"2022-05-31",25.6230476190476,25.652994047619,25.537875,25.5604642857143,25.0960654761905,25.0758988095238
"2022-06-01",25.5865595238095,25.6166607142857,25.4660297619048,25.4894583333333,25.1129761904762,25.0902023809524
"2022-06-02",25.5510119047619,25.5819464285714,25.4252916666667,25.4492797619048,25.0571369047619,25.0311964285714
"2022-06-03",25.5339583333333,25.5661845238095,25.3657023809524,25.3905654761905,25.0174166666667,24.9911964285714
"2022-06-04",25.5112619047619,25.5426369047619,25.3670595238095,25.3908988095238,24.9251785714286,24.9017023809524
"2022-06-05",25.4595416666667,25.4902023809524,25.3704642857143,25.3938988095238,25.0141547619048,24.9905297619048
"2022-06-06",25.4160595238095,25.4464107142857,25.3180416666667,25.3398333333333,25.0552023809524,25.0327083333333
"2022-06-07",25.3940773809524,25.4242738095238,25.2781607142857,25.2995535714286,24.9236726190476,24.9016071428571
"2022-06-08",25.3646011904762,25.3942142857143,25.2765238095238,25.2972083333333,24.8546607142857,24.8367976190476
"2022-06-09",25.3278988095238,25.3570535714286,25.2568571428571,25.2774166666667,24.884619047619,24.8690357142857
"2022-06-10",25.2887797619048,25.3173630952381,25.2595297619048,25.2789404761905,24.8926964285714,24.8769642857143
"2022-06-11",25.2788452380952,25.3075178571429,25.2511428571429,25.2715892857143,24.9591785714286,24.9425892857143
"2022-06-12",25.24125,25.2702142857143,25.265125,25.285255952381,24.9844285714286,24.9649404761905
"2022-06-13",25.1729702380952,25.201494047619,25.256744047619,25.2771785714286,25.0286666666667,25.0081666666667
"2022-06-14",25.0805773809524,25.1089702380952,25.1953511904762,25.2160238095238,25.0878630952381,25.0663511904762
"2022-06-15",25.0214464285714,25.0493988095238,25.1159226190476,25.1365714285714,25.0833630952381,25.0614166666667
"2022-06-16",24.9872619047619,25.0155178571429,25.055505952381,25.0770297619048,25.0137321428571,24.9933928571429
"2022-06-17",24.9722738095238,25.000375,25.0096904761905,25.0312083333333,24.9494285714286,24.9303869047619
"2022-06-18",24.9545416666667,24.9821011904762,24.949875,24.9719464285714,24.8964464285714,24.8798452380952
"2022-06-19",24.9748333333333,25.0023928571429,24.899130952381,24.9223452380952,24.7938571428571,24.7811845238095
"2022-06-20",25.0086428571429,25.036375,24.8567738095238,24.8799821428571,24.75075,24.7383869047619
"2022-06-21",25.0244702380952,25.0527559523809,24.8481011904762,24.8727738095238,24.7199107142857,24.7094345238095
"2022-06-22",24.9583095238095,24.987869047619,24.8091011904762,24.833494047619,24.7211785714286,24.7107023809524
"2022-06-23",24.8945059523809,24.923375,24.7488452380952,24.7730654761905,24.6626428571429,24.6511726190476
"2022-06-24",24.8230714285714,24.8526666666667,24.6893035714286,24.7127797619048,24.6143511904762,24.6030238095238
"2022-06-25",24.7427023809524,24.7719821428571,24.6323452380952,24.655375,24.5762857142857,24.5653869047619
"2022-06-26",24.6590476190476,24.6880238095238,24.5522023809524,24.574505952381,24.5105833333333,24.4979464285714
"2022-06-27",24.590380952381,24.6193095238095,24.493625,24.5167738095238,24.4008035714286,24.3880357142857
"2022-06-28",24.5396845238095,24.5680535714286,24.4382142857143,24.4605178571429,24.2842797619048,24.270375
"2022-06-29",24.5360178571429,24.563505952381,24.4133452380952,24.4364821428571,24.1840297619048,24.1705535714286
"2022-06-30",24.5108928571429,24.5382083333333,24.402994047619,24.4258214285714,24.1372380952381,24.1231785714286
"2022-07-01",24.4812619047619,24.507130952381,24.3790238095238,24.4029880952381,24.072505952381,24.0584523809524
"2022-07-02",24.4413154761905,24.4671726190476,24.3476071428571,24.3714226190476,24.022125,24.0067797619048
"2022-07-03",24.4053988095238,24.4312321428571,24.3180535714286,24.3424523809524,23.9902559523809,23.9762202380952
"2022-07-04",24.3477976190476,24.3733571428571,24.254994047619,24.2786904761905,23.9396904761905,23.925369047619
"2022-07-05",24.2938154761905,24.3187976190476,24.2100833333333,24.2338928571429,23.8856964285714,23.8709464285714
"2022-07-06",24.2388154761905,24.2636785714286,24.1624404761905,24.1849583333333,23.8574583333333,23.8427202380952
"2022-07-07",24.1947083333333,24.2199702380952,24.1206607142857,24.1431726190476,23.8225833333333,23.8069880952381
"2022-07-08",24.1501071428571,24.175619047619,24.1018214285714,24.1242023809524,23.8036369047619,23.7883214285714
"2022-07-09",24.1007678571429,24.125994047619,24.0802619047619,24.1030714285714,23.7983452380952,23.7833154761905
"2022-07-10",24.0414166666667,24.0669285714286,24.0551547619048,24.0772380952381,23.8140178571429,23.799255952381
"2022-07-11",23.9853511904762,24.0110178571429,24.0355535714286,24.0577738095238,23.8201607142857,23.8053988095238
"2022-07-12",23.935755952381,23.9615357142857,24.0015535714286,24.0236071428571,23.8191547619048,23.8053869047619
"2022-07-13",23.8916130952381,23.9172261904762,23.9695357142857,23.9922976190476,23.7682380952381,23.753875
"2022-07-14",23.8428988095238,23.8682261904762,23.9256785714286,23.9481547619048,23.7008035714286,23.6877261904762
"2022-07-15",23.8043273809524,23.829369047619,23.8778214285714,23.9002738095238,23.6362380952381,23.622880952381
"2022-07-16",23.7796666666667,23.8044107142857,23.83725,23.8592738095238,23.570380952381,23.5571666666667
"2022-07-17",23.7527202380952,23.7773333333333,23.804125,23.8264285714286,23.5201309523809,23.5066488095238
"2022-07-18",23.7441309523809,23.7694285714286,23.7874583333333,23.8101785714286,23.4955535714286,23.4830654761905
"2022-07-19",23.7258392857143,23.7511428571429,23.7755714285714,23.7981428571429,23.4868452380952,23.474505952381
"2022-07-20",23.700380952381,23.726125,23.7612857142857,23.7831428571429,23.5138630952381,23.5014047619048
"2022-07-21",23.6733452380952,23.699380952381,23.7538571428571,23.7761428571429,23.560125,23.5481071428571
"2022-07-22",23.6359880952381,23.662744047619,23.752,23.7742857142857,23.5965238095238,23.5849404761905
"2022-07-23",23.6063630952381,23.6344345238095,23.7537142857143,23.7762857142857,23.6209880952381,23.6089821428571
"2022-07-24",23.5936130952381,23.6219880952381,23.7515714285714,23.7738571428571,23.61425,23.6022380952381
"2022-07-25",23.5771666666667,23.6053988095238,23.7392857142857,23.7611428571429,23.6158035714286,23.6036547619048
"2022-07-26",23.5672797619048,23.5953630952381,23.7238571428571,23.7454285714286,23.628375,23.6165119047619
"2022-07-27",23.5655833333333,23.593375,23.7104285714286,23.7331428571429,23.6267976190476,23.6157916666667
"2022-07-28",23.5655952380952,23.5923809523809,23.689119047619,23.711130952381,23.5967619047619,23.5854702380952
"2022-07-29",23.5683333333333,23.5945416666667,23.6510476190476,23.6728095238095,23.5607619047619,23.5494702380952
"2022-07-30",23.5485714285714,23.5742023809524,23.6058154761905,23.6283214285714,23.5161964285714,23.5043333333333
"2022-07-31",23.538875,23.5637678571429,23.5680357142857,23.5908452380952,23.4908214285714,23.4783869047619
"2022-08-01",23.5413214285714,23.5656428571429,23.5437321428571,23.566119047619,23.482244047619,23.4697916666667
"2022-08-02",23.5476428571429,23.5715357142857,23.5317142857143,23.5538154761905,23.4631904761905,23.4503035714286
"2022-08-03",23.560369047619,23.5839702380952,23.528,23.5486726190476,23.4480178571429,23.434130952381
"2022-08-04",23.5718214285714,23.5958511904762,23.5238333333333,23.5449345238095,23.4014880952381,23.3884583333333
"2022-08-05",23.5666785714286,23.5908869047619,23.5185357142857,23.5397678571429,23.3420595238095,23.3290297619048
"2022-08-06",23.5814761904762,23.6055357142857,23.5198035714286,23.5400535714286,23.321625,23.3090238095238
"2022-08-07",23.5763035714286,23.600380952381,23.5222202380952,23.5423511904762,23.2987380952381,23.2864285714286
